              Procedure           Image            Address        Calls Instructions
 PyErr_NewException@plt _iterative.x86_64-linux-gnu.so       7fca56c44ec0            1            1
PyObject_GetAttrString@plt _iterative.x86_64-linux-gnu.so       7fca56c44bf0            1            1
  Py_InitModule4_64@plt _iterative.x86_64-linux-gnu.so       7fca56c44be0            1            1
PyDict_SetItemString@plt _iterative.x86_64-linux-gnu.so       7fca56c44b30           30           30
                  _init _iterative.x86_64-linux-gnu.so       7fca56c44aa0            1            6
        init_reordering _reordering.x86_64-linux-gnu.so       7fca575396b0            1         3918
                  .text _reordering.x86_64-linux-gnu.so       7fca57504a60            7         1936
    PyImport_Import@plt _reordering.x86_64-linux-gnu.so       7fca57504a40            6            6
PyUnicodeUCS4_FromStringAndSize@plt _reordering.x86_64-linux-gnu.so       7fca57504a20            1            1
      Py_GetVersion@plt _reordering.x86_64-linux-gnu.so       7fca575049f0            1            1
       PyTuple_Pack@plt _reordering.x86_64-linux-gnu.so       7fca575049e0           41           41
   PyObject_GetAttr@plt _reordering.x86_64-linux-gnu.so       7fca57504980            6            6
   PyModule_GetDict@plt _reordering.x86_64-linux-gnu.so       7fca57504940            4            4
        PySlice_New@plt _reordering.x86_64-linux-gnu.so       7fca57504930            5            5
      PyCapsule_New@plt _reordering.x86_64-linux-gnu.so       7fca57504900            6            6
     PyDict_SetItem@plt _reordering.x86_64-linux-gnu.so       7fca575048d0           26           26
     PyInt_FromLong@plt _reordering.x86_64-linux-gnu.so       7fca575048c0            6            6
         PyDict_New@plt _reordering.x86_64-linux-gnu.so       7fca57504840            6            6
PyThread_allocate_lock@plt _reordering.x86_64-linux-gnu.so       7fca575047f0            8            8
PyObject_CallFunctionObjArgs@plt _reordering.x86_64-linux-gnu.so       7fca57504790            3            3
    PyType_Modified@plt _reordering.x86_64-linux-gnu.so       7fca57504730            3            3
        PyTuple_New@plt _reordering.x86_64-linux-gnu.so       7fca57504700            2            2
PyString_FromString@plt _reordering.x86_64-linux-gnu.so       7fca575046f0           12           12
     PyDict_GetItem@plt _reordering.x86_64-linux-gnu.so       7fca575046b0            2            2
       PyType_Ready@plt _reordering.x86_64-linux-gnu.so       7fca57504660            4            4
      PyOS_snprintf@plt _reordering.x86_64-linux-gnu.so       7fca57504620            2            2
PyString_InternFromString@plt _reordering.x86_64-linux-gnu.so       7fca575045b0          131          131
   _PyObject_GC_New@plt _reordering.x86_64-linux-gnu.so       7fca57504570            6            6
  PyObject_GC_Track@plt _reordering.x86_64-linux-gnu.so       7fca57504500            6            6
         PyCode_New@plt _reordering.x86_64-linux-gnu.so       7fca575044e0            5            5
PyObject_SetAttrString@plt _reordering.x86_64-linux-gnu.so       7fca57504460            1            1
 PyImport_AddModule@plt _reordering.x86_64-linux-gnu.so       7fca57504450            3            3
PyObject_GetAttrString@plt _reordering.x86_64-linux-gnu.so       7fca57504430            2            2
  Py_InitModule4_64@plt _reordering.x86_64-linux-gnu.so       7fca57504410            1            1
  PyCFunction_NewEx@plt _reordering.x86_64-linux-gnu.so       7fca575043f0            3            3
PyString_FromStringAndSize@plt _reordering.x86_64-linux-gnu.so       7fca57504340           35           35
         PyList_New@plt _reordering.x86_64-linux-gnu.so       7fca57504330            3            3
PyUnicodeUCS4_DecodeUTF8@plt _reordering.x86_64-linux-gnu.so       7fca57504320            8            8
                  _init _reordering.x86_64-linux-gnu.so       7fca575042e8            1            6
 init_min_spanning_tree _min_spanning_tree.x86_64-linux-gnu.so       7fca57b81a30            1         2452
                  .text _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66df0            4         1426
    PyImport_Import@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66dd0            6            6
PyUnicodeUCS4_FromStringAndSize@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66db0            1            1
      Py_GetVersion@plt _min_spanning_tree.x86_64-linux-gnu.so       7fca57b66d80            1            1
